sequence,frames,nfeatures,avg_keypoints,min_keypoints,p10_keypoints,p90_keypoints,max_keypoints,avg_matches_to_previous,avg_good_matches_to_previous,avg_match_distance,avg_descriptor_bytes_per_frame,avg_compact_packet_bytes_per_frame,avg_float_packet_bytes_per_frame,avg_jpeg_bytes_per_frame,compact_packet_vs_jpeg_ratio
structured/IMG_5978,121,250,250.0,250,250.0,250.0,250,165.417,163.883,22.875,8000.0,10250.0,14000.0,507825.562,0.0202
structured/IMG_5979,121,250,250.0,250,250.0,250.0,250,175.342,172.083,21.953,8000.0,10250.0,14000.0,977526.86,0.0105
structured/IMG_5980,92,250,250.0,250,250.0,250.0,250,161.67,153.615,25.643,8000.0,10250.0,14000.0,672196.696,0.0152
structured/IMG_5982,110,250,250.0,250,250.0,250.0,250,173.257,170.798,22.766,8000.0,10250.0,14000.0,464305.709,0.0221
structured/IMG_5983,160,250,250.0,250,250.0,250.0,250,164.308,162.66,21.267,8000.0,10250.0,14000.0,429428.006,0.0239
unstructured_like/IMG_5975,112,250,250.0,250,250.0,250.0,250,142.829,127.135,34.482,8000.0,10250.0,14000.0,1240042.688,0.0083
unstructured_like/IMG_5976,108,250,250.0,250,250.0,250.0,250,135.57,115.636,36.693,8000.0,10250.0,14000.0,1168127.824,0.0088
unstructured_like/IMG_5981,144,250,250.0,250,250.0,250.0,250,147.322,133.28,31.943,8000.0,10250.0,14000.0,865416.132,0.0118
structured/IMG_5978,121,500,500.0,500,500.0,500.0,500,331.7,329.683,22.554,16000.0,20500.0,28000.0,507825.562,0.0404
structured/IMG_5979,121,500,500.0,500,500.0,500.0,500,353.842,349.217,21.785,16000.0,20500.0,28000.0,977526.86,0.021
structured/IMG_5980,92,500,500.0,500,500.0,500.0,500,318.945,304.824,26.154,16000.0,20500.0,28000.0,672196.696,0.0305
structured/IMG_5982,110,500,500.0,500,500.0,500.0,500,337.394,333.266,23.362,16000.0,20500.0,28000.0,464305.709,0.0442
structured/IMG_5983,160,500,500.0,500,500.0,500.0,500,325.868,323.289,21.546,16000.0,20500.0,28000.0,429428.006,0.0477
unstructured_like/IMG_5975,112,500,500.0,500,500.0,500.0,500,289.55,265.486,33.663,16000.0,20500.0,28000.0,1240042.688,0.0165
unstructured_like/IMG_5976,108,500,500.0,500,500.0,500.0,500,272.467,242.822,35.587,16000.0,20500.0,28000.0,1168127.824,0.0175
unstructured_like/IMG_5981,144,500,500.0,500,500.0,500.0,500,300.643,281.427,30.588,16000.0,20500.0,28000.0,865416.132,0.0237
structured/IMG_5978,121,1000,995.041,728,1000.0,1000.0,1000,661.65,658.467,22.221,31841.322,40796.694,55722.314,507825.562,0.0803
structured/IMG_5979,121,1000,1000.0,1000,1000.0,1000.0,1000,707.45,699.708,21.958,32000.0,41000.0,56000.0,977526.86,0.0419
structured/IMG_5980,92,1000,1000.0,1000,1000.0,1000.0,1000,630.187,607.11,26.665,32000.0,41000.0,56000.0,672196.696,0.061
structured/IMG_5982,110,1000,1000.0,1000,1000.0,1000.0,1000,656.697,650.394,23.996,32000.0,41000.0,56000.0,464305.709,0.0883
structured/IMG_5983,160,1000,1000.0,1000,1000.0,1000.0,1000,643.333,638.925,21.852,32000.0,41000.0,56000.0,429428.006,0.0955
unstructured_like/IMG_5975,112,1000,1000.0,1000,1000.0,1000.0,1000,581.126,543.667,33.234,32000.0,41000.0,56000.0,1240042.688,0.0331
unstructured_like/IMG_5976,108,1000,1000.0,1000,1000.0,1000.0,1000,551.617,510.112,34.613,32000.0,41000.0,56000.0,1168127.824,0.0351
unstructured_like/IMG_5981,144,1000,1000.0,1000,1000.0,1000.0,1000,615.154,588.385,29.828,32000.0,41000.0,56000.0,865416.132,0.0474
structured/IMG_5978,121,2000,1937.14,862,1817.0,2000.0,2000,1293.35,1287.225,22.167,61988.496,79422.76,108479.868,507825.562,0.1564
structured/IMG_5979,121,2000,2000.0,2000,2000.0,2000.0,2000,1406.275,1390.242,22.645,64000.0,82000.0,112000.0,977526.86,0.0839
structured/IMG_5980,92,2000,2000.0,2000,2000.0,2000.0,2000,1252.154,1213.22,27.305,64000.0,82000.0,112000.0,672196.696,0.122
structured/IMG_5982,110,2000,1999.209,1973,2000.0,2000.0,2000,1282.587,1270.706,25.037,63974.691,81967.573,111955.709,464305.709,0.1765
structured/IMG_5983,160,2000,2000.0,2000,2000.0,2000.0,2000,1260.151,1251.755,22.056,64000.0,82000.0,112000.0,429428.006,0.191
unstructured_like/IMG_5975,112,2000,2000.0,2000,2000.0,2000.0,2000,1168.162,1113.811,33.045,64000.0,82000.0,112000.0,1240042.688,0.0661
unstructured_like/IMG_5976,108,2000,2000.0,2000,2000.0,2000.0,2000,1120.355,1063.215,33.944,64000.0,82000.0,112000.0,1168127.824,0.0702
unstructured_like/IMG_5981,144,2000,2000.0,2000,2000.0,2000.0,2000,1249.154,1214.049,29.383,64000.0,82000.0,112000.0,865416.132,0.0948
