group,detect_nfeatures,frame_step,budget,strategy,pairs,avg_selected_a,avg_selected_b,avg_matches,avg_good_matches,avg_good_match_ratio,avg_avg_match_distance,avg_fundamental_inliers,avg_fundamental_inlier_ratio,avg_compact_packet_bytes_per_frame,avg_jpeg_bytes_per_frame,avg_compact_packet_vs_jpeg_ratio
structured,2000,1,100,grid,599,100.0,100.0,56.851,53.584,0.941,27.152,43.668,0.762,4100.0,597822.871,0.008
structured,2000,1,100,random,1797,100.0,100.0,39.125,21.233,0.55,58.541,11.086,0.287,4100.0,597822.871,0.008
structured,2000,1,100,top_response,599,100.0,100.0,64.838,62.843,0.968,23.906,52.81,0.811,4100.0,597822.871,0.008
structured,2000,1,250,grid,599,250.0,250.0,147.993,143.254,0.968,25.077,110.736,0.742,10250.0,597822.871,0.02
structured,2000,1,250,random,1797,250.0,250.0,99.36,74.381,0.751,47.97,34.246,0.346,10250.0,597822.871,0.02
structured,2000,1,250,top_response,599,250.0,250.0,165.257,161.945,0.979,23.319,129.275,0.778,10250.0,597822.871,0.02
structured,2000,1,500,grid,599,500.0,500.0,303.564,297.339,0.979,24.111,224.255,0.733,20500.0,597822.871,0.039
structured,2000,1,500,random,1797,500.0,500.0,214.037,187.077,0.874,39.173,101.048,0.472,20500.0,597822.871,0.039
structured,2000,1,500,top_response,599,500.0,500.0,330.319,324.651,0.983,23.406,252.23,0.759,20500.0,597822.871,0.039
structured,2000,1,1000,grid,599,999.77,999.77,627.908,619.012,0.986,23.59,456.841,0.722,40990.554,597822.871,0.078
structured,2000,1,1000,random,1797,999.77,999.77,493.56,469.619,0.951,30.524,297.327,0.6,40990.554,597822.871,0.078
structured,2000,1,1000,top_response,599,999.77,999.77,654.456,645.336,0.986,23.638,487.366,0.739,40990.554,597822.871,0.078
unstructured_like,2000,1,100,grid,361,100.0,100.0,53.283,41.008,0.765,41.336,35.568,0.664,4100.0,1070025.357,0.004
unstructured_like,2000,1,100,random,1083,100.0,100.0,42.235,8.284,0.198,71.184,9.051,0.216,4100.0,1070025.357,0.004
unstructured_like,2000,1,100,top_response,361,100.0,100.0,56.77,47.723,0.835,37.079,43.213,0.755,4100.0,1070025.357,0.004
unstructured_like,2000,1,250,grid,361,250.0,250.0,135.086,114.019,0.839,37.402,91.008,0.669,10250.0,1070025.357,0.01
unstructured_like,2000,1,250,random,1083,250.0,250.0,102.649,42.263,0.413,61.714,22.843,0.222,10250.0,1070025.357,0.01
unstructured_like,2000,1,250,top_response,361,250.0,250.0,144.665,127.474,0.876,35.25,108.125,0.74,10250.0,1070025.357,0.01
unstructured_like,2000,1,500,grid,361,500.0,500.0,275.424,245.659,0.888,35.271,187.141,0.674,20500.0,1070025.357,0.02
unstructured_like,2000,1,500,random,1083,500.0,500.0,210.412,131.752,0.627,52.771,75.239,0.356,20500.0,1070025.357,0.02
unstructured_like,2000,1,500,top_response,361,500.0,500.0,292.294,265.684,0.905,34.065,216.424,0.733,20500.0,1070025.357,0.02
unstructured_like,2000,1,1000,grid,361,1000.0,1000.0,564.626,525.557,0.928,33.643,385.144,0.676,41000.0,1070025.357,0.04
unstructured_like,2000,1,1000,random,1083,1000.0,1000.0,463.092,386.811,0.835,41.971,246.152,0.528,41000.0,1070025.357,0.04
unstructured_like,2000,1,1000,top_response,361,1000.0,1000.0,585.665,548.457,0.933,32.96,429.41,0.725,41000.0,1070025.357,0.04
