sequence,group,detect_nfeatures,frame_step,budget,strategy,pairs,avg_selected_a,avg_selected_b,avg_matches,avg_good_matches,avg_good_match_ratio,avg_avg_match_distance,avg_fundamental_inliers,avg_fundamental_inlier_ratio,avg_compact_packet_bytes_per_frame,avg_jpeg_bytes_per_frame,avg_compact_packet_vs_jpeg_ratio
structured/IMG_5978,structured,2000,1,100,grid,120,100.0,100.0,55.333,53.025,0.955,27.539,42.4,0.759,4100.0,507545.129,0.008
structured/IMG_5978,structured,2000,1,100,random,360,100.0,100.0,36.308,24.944,0.689,54.363,11.711,0.326,4100.0,507545.129,0.008
structured/IMG_5978,structured,2000,1,100,top_response,120,100.0,100.0,63.9,62.775,0.98,24.043,52.425,0.813,4100.0,507545.129,0.008
structured/IMG_5978,structured,2000,1,250,grid,120,250.0,250.0,143.1,140.092,0.978,25.344,106.875,0.738,10250.0,507545.129,0.021
structured/IMG_5978,structured,2000,1,250,random,360,250.0,250.0,94.744,81.081,0.855,44.344,37.122,0.391,10250.0,507545.129,0.021
structured/IMG_5978,structured,2000,1,250,top_response,120,250.0,250.0,164.175,162.167,0.987,23.479,127.783,0.771,10250.0,507545.129,0.021
structured/IMG_5978,structured,2000,1,500,grid,120,500.0,500.0,295.717,292.325,0.988,24.2,217.65,0.728,20500.0,507545.129,0.042
structured/IMG_5978,structured,2000,1,500,random,360,500.0,500.0,209.519,195.922,0.934,36.268,107.461,0.511,20500.0,507545.129,0.042
structured/IMG_5978,structured,2000,1,500,top_response,120,500.0,500.0,330.942,327.867,0.99,22.851,251.375,0.753,20500.0,507545.129,0.042
structured/IMG_5978,structured,2000,1,1000,grid,120,998.85,998.85,620.717,616.533,0.993,23.277,451.917,0.721,40952.85,507545.129,0.084
structured/IMG_5978,structured,2000,1,1000,random,360,998.85,998.85,495.647,485.089,0.978,28.468,314.975,0.632,40952.85,507545.129,0.084
structured/IMG_5978,structured,2000,1,1000,top_response,120,998.85,998.85,660.8,656.642,0.994,22.534,491.958,0.737,40952.85,507545.129,0.084
structured/IMG_5979,structured,2000,1,100,grid,120,100.0,100.0,59.858,53.542,0.892,30.099,49.017,0.817,4100.0,977343.867,0.004
structured/IMG_5979,structured,2000,1,100,random,360,100.0,100.0,39.083,16.622,0.428,62.644,10.661,0.275,4100.0,977343.867,0.004
structured/IMG_5979,structured,2000,1,100,top_response,120,100.0,100.0,67.142,63.783,0.949,25.344,57.342,0.855,4100.0,977343.867,0.004
structured/IMG_5979,structured,2000,1,250,grid,120,250.0,250.0,154.933,144.958,0.934,27.386,125.542,0.809,10250.0,977343.867,0.011
structured/IMG_5979,structured,2000,1,250,random,360,250.0,250.0,98.031,66.95,0.684,50.719,35.614,0.364,10250.0,977343.867,0.011
structured/IMG_5979,structured,2000,1,250,top_response,120,250.0,250.0,174.442,169.508,0.971,23.739,145.625,0.835,10250.0,977343.867,0.011
structured/IMG_5979,structured,2000,1,500,grid,120,500.0,500.0,317.292,304.95,0.96,25.367,254.808,0.802,20500.0,977343.867,0.021
structured/IMG_5979,structured,2000,1,500,random,360,500.0,500.0,212.386,180.808,0.851,40.279,109.197,0.514,20500.0,977343.867,0.021
structured/IMG_5979,structured,2000,1,500,top_response,120,500.0,500.0,348.775,340.492,0.976,23.834,287.308,0.824,20500.0,977343.867,0.021
structured/IMG_5979,structured,2000,1,1000,grid,120,1000.0,1000.0,664.108,648.6,0.976,23.896,524.542,0.789,41000.0,977343.867,0.042
structured/IMG_5979,structured,2000,1,1000,random,360,1000.0,1000.0,501.753,475.886,0.948,30.147,327.233,0.652,41000.0,977343.867,0.042
structured/IMG_5979,structured,2000,1,1000,top_response,120,1000.0,1000.0,690.542,676.142,0.979,23.962,559.567,0.81,41000.0,977343.867,0.042
structured/IMG_5980,structured,2000,1,100,grid,91,100.0,100.0,59.725,56.231,0.94,28.316,47.945,0.801,4100.0,671377.352,0.006
structured/IMG_5980,structured,2000,1,100,random,273,100.0,100.0,41.33,17.044,0.424,64.12,10.451,0.256,4100.0,671377.352,0.006
structured/IMG_5980,structured,2000,1,100,top_response,91,100.0,100.0,62.901,59.495,0.947,25.917,53.407,0.847,4100.0,671377.352,0.006
structured/IMG_5980,structured,2000,1,250,grid,91,250.0,250.0,152.637,147.374,0.966,26.718,119.044,0.778,10250.0,671377.352,0.015
structured/IMG_5980,structured,2000,1,250,random,273,250.0,250.0,101.491,59.938,0.599,54.057,29.864,0.297,10250.0,671377.352,0.015
structured/IMG_5980,structured,2000,1,250,top_response,91,250.0,250.0,156.088,148.813,0.955,25.874,129.33,0.827,10250.0,671377.352,0.015
structured/IMG_5980,structured,2000,1,500,grid,91,500.0,500.0,305.495,296.604,0.972,26.396,235.615,0.768,20500.0,671377.352,0.031
structured/IMG_5980,structured,2000,1,500,random,273,500.0,500.0,213.582,158.414,0.743,45.241,92.114,0.431,20500.0,671377.352,0.031
structured/IMG_5980,structured,2000,1,500,top_response,91,500.0,500.0,313.176,299.956,0.959,26.406,253.549,0.807,20500.0,671377.352,0.031
structured/IMG_5980,structured,2000,1,1000,grid,91,1000.0,1000.0,617.077,599.418,0.972,26.386,472.319,0.762,41000.0,671377.352,0.062
structured/IMG_5980,structured,2000,1,1000,random,273,1000.0,1000.0,482.128,421.128,0.874,35.658,278.044,0.576,41000.0,671377.352,0.062
structured/IMG_5980,structured,2000,1,1000,top_response,91,1000.0,1000.0,622.978,602.088,0.968,26.701,489.484,0.784,41000.0,671377.352,0.062
structured/IMG_5982,structured,2000,1,100,grid,109,100.0,100.0,57.615,54.771,0.949,26.716,44.321,0.767,4100.0,463914.748,0.009
structured/IMG_5982,structured,2000,1,100,random,327,100.0,100.0,40.031,19.388,0.486,61.079,11.159,0.282,4100.0,463914.748,0.009
structured/IMG_5982,structured,2000,1,100,top_response,109,100.0,100.0,67.037,65.394,0.975,23.111,54.468,0.812,4100.0,463914.748,0.009
structured/IMG_5982,structured,2000,1,250,grid,109,250.0,250.0,151.376,147.716,0.975,24.562,111.972,0.738,10250.0,463914.748,0.024
structured/IMG_5982,structured,2000,1,250,random,327,250.0,250.0,101.26,72.563,0.716,50.159,32.336,0.321,10250.0,463914.748,0.024
structured/IMG_5982,structured,2000,1,250,top_response,109,250.0,250.0,168.477,165.826,0.984,23.466,129.385,0.767,10250.0,463914.748,0.024
