group,nfeatures,resize_scale,frame_step,pairs,avg_keypoints_a,avg_keypoints_b,avg_occupied_grid_ratio_a,avg_occupied_grid_ratio_b,avg_grid_entropy_a,avg_grid_entropy_b,avg_brightness_mean,avg_contrast_mean,avg_sharpness_laplacian_var_mean,avg_gradient_mean,avg_matches,avg_good_matches,avg_good_match_ratio,avg_avg_match_distance,avg_fundamental_inliers,avg_fundamental_inlier_ratio,avg_homography_inliers,avg_homography_inlier_ratio,avg_compact_packet_bytes_per_frame,avg_jpeg_bytes_per_frame,avg_compact_packet_vs_jpeg_ratio
structured,1000,0.5,1,599,987.301,987.312,0.841,0.84,0.772,0.771,162.557,55.424,1942.613,60.083,667.259,660.329,0.989,21.909,488.533,0.73,609.033,0.91,40479.56,597822.871,0.077
structured,1000,0.5,3,589,987.09,987.112,0.842,0.841,0.772,0.771,162.56,55.404,1937.842,59.99,574.273,563.207,0.979,25.392,386.528,0.665,477.735,0.82,40471.142,596955.463,0.077
structured,1000,0.5,5,579,986.867,986.95,0.844,0.843,0.773,0.772,162.545,55.388,1930.978,59.888,508.275,492.888,0.965,28.348,319.725,0.613,390.862,0.746,40463.247,595856.781,0.077
structured,1000,0.5,10,554,986.274,986.458,0.846,0.846,0.775,0.773,162.454,55.371,1914.421,59.663,397.903,372.074,0.92,35.452,206.949,0.475,245.0,0.56,40441.023,593272.033,0.078
structured,1000,1.0,1,599,998.998,998.998,0.854,0.854,0.765,0.765,162.436,56.348,847.713,57.427,660.282,652.27,0.987,23.224,472.144,0.71,574.017,0.862,40958.932,597822.871,0.078
structured,1000,1.0,3,589,998.981,998.981,0.854,0.855,0.766,0.765,162.438,56.327,846.01,57.314,560.677,547.525,0.975,27.211,356.044,0.622,423.387,0.735,40958.234,596955.463,0.078
structured,1000,1.0,5,579,998.964,998.964,0.855,0.857,0.766,0.766,162.424,56.308,842.464,57.175,493.618,476.114,0.961,30.182,287.245,0.56,334.107,0.648,40957.513,595856.781,0.078
structured,1000,1.0,10,554,998.917,998.917,0.855,0.86,0.767,0.768,162.333,56.283,833.93,56.852,388.57,361.236,0.919,36.637,182.361,0.427,203.265,0.474,40955.596,593272.033,0.079
unstructured_like,1000,0.5,1,361,1000.0,1000.0,0.985,0.985,0.869,0.869,136.111,48.249,5001.433,147.733,627.042,596.809,0.952,31.406,443.194,0.705,553.202,0.88,41000.0,1070025.357,0.04
unstructured_like,1000,0.5,3,355,1000.0,1000.0,0.985,0.985,0.869,0.869,136.132,48.222,5003.248,147.739,516.344,459.377,0.888,39.811,300.22,0.574,364.989,0.697,41000.0,1069782.525,0.04
unstructured_like,1000,0.5,5,349,1000.0,1000.0,0.986,0.985,0.869,0.869,136.16,48.191,5002.385,147.736,459.636,383.799,0.832,44.8,226.424,0.482,269.327,0.572,41000.0,1069458.709,0.04
unstructured_like,1000,0.5,10,334,1000.0,1000.0,0.987,0.985,0.869,0.869,136.28,48.107,4985.523,147.592,394.183,281.114,0.709,52.627,128.575,0.314,151.365,0.37,41000.0,1067862.792,0.04
unstructured_like,1000,1.0,1,361,1000.0,1000.0,0.959,0.959,0.821,0.821,135.986,50.375,1704.206,131.969,585.859,551.435,0.94,32.494,395.67,0.67,485.726,0.822,41000.0,1070025.357,0.04
unstructured_like,1000,1.0,3,355,1000.0,1000.0,0.958,0.96,0.821,0.821,136.007,50.35,1706.373,131.969,474.696,411.293,0.86,41.819,253.082,0.52,299.986,0.614,41000.0,1069782.525,0.04
unstructured_like,1000,1.0,5,349,1000.0,1000.0,0.958,0.96,0.821,0.821,136.035,50.32,1705.307,131.941,427.195,344.1,0.798,47.002,184.344,0.417,218.685,0.493,41000.0,1069458.709,0.04
unstructured_like,1000,1.0,10,334,1000.0,1000.0,0.958,0.961,0.82,0.822,136.154,50.233,1698.605,131.7,377.383,262.988,0.69,54.193,97.138,0.244,116.874,0.294,41000.0,1067862.792,0.04
