sequence,group,nfeatures,resize_scale,frame_step,pairs,avg_keypoints_a,avg_keypoints_b,avg_occupied_grid_ratio_a,avg_occupied_grid_ratio_b,avg_grid_entropy_a,avg_grid_entropy_b,avg_brightness_mean,avg_contrast_mean,avg_sharpness_laplacian_var_mean,avg_gradient_mean,avg_matches,avg_good_matches,avg_good_match_ratio,avg_avg_match_distance,avg_fundamental_inliers,avg_fundamental_inlier_ratio,avg_homography_inliers,avg_homography_inlier_ratio,avg_compact_packet_bytes_per_frame,avg_jpeg_bytes_per_frame,avg_compact_packet_vs_jpeg_ratio
structured/IMG_5978,structured,1000,0.5,1,120,952.375,952.442,0.947,0.944,0.854,0.853,175.967,40.365,380.879,36.512,643.942,641.767,0.996,21.045,484.792,0.753,599.542,0.93,39048.742,507545.129,0.08
structured/IMG_5978,structured,1000,0.5,3,118,951.568,951.712,0.95,0.943,0.856,0.853,176.029,40.351,380.498,36.444,541.966,537.458,0.99,24.631,370.907,0.679,458.254,0.838,39017.233,507651.326,0.08
structured/IMG_5978,structured,1000,0.5,5,116,950.733,951.181,0.953,0.943,0.857,0.854,176.063,40.343,380.196,36.385,469.759,462.44,0.98,27.729,299.491,0.623,357.698,0.747,38989.233,507677.017,0.08
structured/IMG_5978,structured,1000,0.5,10,111,948.514,949.468,0.955,0.942,0.858,0.853,176.105,40.369,375.36,36.211,353.964,339.459,0.941,35.4,178.595,0.445,199.793,0.501,38908.631,506734.252,0.079
structured/IMG_5978,structured,1000,1.0,1,120,995.0,995.0,0.955,0.955,0.829,0.828,175.84,40.593,135.673,29.879,661.65,658.467,0.995,22.446,479.583,0.717,589.525,0.882,40795.0,507545.129,0.083
structured/IMG_5978,structured,1000,1.0,3,118,994.915,994.915,0.956,0.956,0.829,0.829,175.902,40.578,135.692,29.85,543.195,537.237,0.987,26.943,345.458,0.615,416.034,0.738,40791.525,507651.326,0.083
structured/IMG_5978,structured,1000,1.0,5,116,994.828,994.828,0.956,0.956,0.829,0.83,175.936,40.57,135.589,29.822,471.379,462.681,0.977,29.989,275.741,0.553,315.664,0.633,40787.931,507677.017,0.083
structured/IMG_5978,structured,1000,1.0,10,111,994.595,994.595,0.957,0.957,0.83,0.828,175.977,40.592,133.307,29.671,356.351,341.73,0.947,36.968,162.414,0.396,175.883,0.434,40778.378,506734.252,0.083
structured/IMG_5979,structured,1000,0.5,1,120,1000.0,1000.0,0.743,0.743,0.704,0.703,162.347,55.99,4571.081,90.832,737.933,734.942,0.996,20.291,564.075,0.764,705.917,0.957,41000.0,977343.867,0.042
structured/IMG_5979,structured,1000,0.5,3,118,1000.0,1000.0,0.745,0.747,0.706,0.704,162.411,55.958,4572.267,90.781,665.619,659.958,0.991,22.62,484.534,0.727,619.542,0.93,41000.0,976836.428,0.042
structured/IMG_5979,structured,1000,0.5,5,116,1000.0,1000.0,0.748,0.75,0.707,0.705,162.476,55.923,4567.973,90.702,609.534,601.112,0.985,24.564,424.0,0.693,546.897,0.892,41000.0,975807.918,0.042
structured/IMG_5979,structured,1000,0.5,10,111,1000.0,1000.0,0.749,0.757,0.711,0.708,162.624,55.846,4556.935,90.543,503.676,486.505,0.959,29.723,319.874,0.619,404.342,0.776,41000.0,973472.122,0.042
structured/IMG_5979,structured,1000,1.0,1,120,1000.0,1000.0,0.799,0.802,0.734,0.734,162.226,57.94,2421.181,109.023,707.45,699.708,0.989,21.97,534.975,0.756,667.967,0.944,41000.0,977343.867,0.042
structured/IMG_5979,structured,1000,1.0,3,118,1000.0,1000.0,0.801,0.805,0.736,0.736,162.29,57.911,2424.075,108.988,631.627,619.017,0.979,25.021,438.653,0.692,553.178,0.872,41000.0,976836.428,0.042
structured/IMG_5979,structured,1000,1.0,5,116,1000.0,1000.0,0.802,0.808,0.737,0.739,162.355,57.876,2421.748,108.882,575.043,558.121,0.968,27.372,376.397,0.649,468.267,0.805,41000.0,975807.918,0.042
structured/IMG_5979,structured,1000,1.0,10,111,1000.0,1000.0,0.801,0.818,0.74,0.745,162.503,57.798,2416.024,108.633,472.901,444.495,0.93,32.699,274.234,0.562,326.865,0.663,41000.0,973472.122,0.042
structured/IMG_5980,structured,1000,0.5,1,91,998.692,998.692,0.852,0.85,0.772,0.772,175.69,43.708,4128.668,95.416,633.736,611.231,0.964,25.799,462.824,0.73,576.363,0.909,40946.385,671377.352,0.062
structured/IMG_5980,structured,1000,0.5,3,89,998.663,998.663,0.856,0.852,0.775,0.773,175.706,43.715,4121.835,95.361,552.933,521.91,0.941,28.664,374.708,0.674,475.494,0.855,40945.18,669620.202,0.062
structured/IMG_5980,structured,1000,0.5,5,87,998.632,998.632,0.858,0.855,0.777,0.776,175.715,43.727,4110.011,95.279,491.782,452.92,0.914,31.425,313.103,0.628,396.943,0.794,40943.92,667352.155,0.062
structured/IMG_5980,structured,1000,0.5,10,82,998.549,998.549,0.867,0.861,0.785,0.78,175.7,43.783,4084.506,95.124,386.89,333.146,0.843,37.659,199.11,0.491,248.159,0.613,40940.5,661949.994,0.062
structured/IMG_5980,structured,1000,1.0,1,91,1000.0,1000.0,0.889,0.889,0.768,0.767,175.563,45.979,1427.995,94.336,630.187,607.11,0.963,26.679,454.33,0.72,551.242,0.874,41000.0,671377.352,0.062
